year,round_number,total_matches,matches_without_changes,matches_with_one_change,matches_with_multiple_changes,unknown_results,malformed_matches,total_snapshots
2013,91,32,29,3,0,0,0,35
2013,92,76,57,16,3,0,0,98
2013,93,49,38,8,3,0,0,63
2013,94,75,60,13,2,0,0,95
2013,95,29,19,7,3,0,0,43
2013,96,66,53,10,3,0,0,82
2013,97,41,25,12,4,0,0,62
2013,98,63,54,5,4,0,0,77
2013,99,24,16,8,0,0,0,32
2013,100,68,57,10,1,0,0,80
2013,101,17,9,6,2,0,0,27
2013,102,18,9,8,1,0,0,28
2013,103,0,0,0,0,0,0,0
2014,1,17,10,5,2,0,0,27
2014,2,25,11,11,3,0,0,42
2014,3,21,11,8,2,0,0,33
2014,4,41,20,18,3,0,0,66
2014,5,17,7,9,1,0,0,28
2014,6,52,34,12,6,0,0,78
2014,7,18,12,3,3,0,0,27
2014,8,52,38,12,2,0,0,68
2014,9,20,15,2,3,0,0,30
2014,10,61,46,11,4,0,0,80
2014,11,18,9,7,2,0,0,30
2014,12,58,44,12,2,0,0,74
2014,13,20,7,10,3,0,0,38
2014,14,56,46,4,6,0,0,74
2014,15,22,7,7,8,0,0,53
2014,16,62,50,11,1,0,0,75
2014,17,43,28,10,5,0,0,66
2014,18,72,62,9,1,0,0,84
2014,19,41,30,6,5,0,0,59
2014,20,76,61,13,2,0,0,93
2014,21,32,18,10,4,0,0,54
2014,22,75,62,11,2,0,0,90
2014,23,39,16,18,5,0,0,70
2014,24,73,60,12,1,0,0,87
2014,25,51,28,19,4,0,0,79
2014,26,74,56,14,4,0,0,98
2014,27,43,33,9,1,0,0,54
2014,28,74,57,16,1,0,0,92
2014,29,19,11,5,3,0,0,31
2014,30,73,52,17,4,0,0,98
2014,31,33,20,12,1,0,0,47
2014,32,66,48,15,3,0,0,87
2014,33,24,9,12,3,0,0,43
2014,34,76,50,24,2,0,0,105
2014,35,16,7,4,5,0,0,32
2014,36,73,49,20,4,0,0,102
2014,37,35,18,12,5,0,0,58
2014,38,71,57,11,3,0,0,88
2014,39,11,6,5,0,0,0,16
2014,40,45,29,14,2,0,0,63
2014,41,8,7,0,1,0,0,10
2014,42,9,3,3,3,0,0,19
2014,43,20,15,4,1,0,0,26
2014,44,27,21,5,1,0,0,34
2014,45,13,10,2,1,0,0,17
2014,46,16,16,0,0,0,0,16
2014,47,2,0,2,0,0,0,4
2014,48,11,4,5,2,0,0,20
2014,49,12,2,6,4,0,0,30
2014,50,9,2,4,3,0,0,20
2014,51,16,5,7,4,0,0,33
2014,52,4,0,1,3,0,0,14
2014,53,4,0,4,0,0,0,8
2014,54,10,2,5,3,0,0,22
2014,55,8,1,7,0,0,0,15
2014,56,8,0,3,5,0,0,24
2014,57,2,0,1,1,0,0,5
2014,58,15,6,3,6,0,0,32
2014,59,15,4,8,3,0,0,31
2014,60,9,2,2,5,0,0,24
2014,61,0,0,0,0,0,0,0
2014,62,17,5,6,6,0,0,37
2014,63,6,0,4,2,0,0,14
2014,64,40,26,11,3,0,0,58
2014,65,8,0,2,6,0,0,24
2014,66,48,32,12,4,0,0,69
2014,67,17,9,6,2,0,0,27
2014,68,67,44,21,2,0,0,92
2014,69,17,11,4,2,0,0,25
2014,70,79,63,13,3,0,0,98
2014,71,12,6,4,2,0,0,20
2014,72,30,12,16,2,0,0,50
2014,73,31,18,6,7,0,0,57
2014,74,80,55,19,6,0,0,115
2014,75,52,32,13,7,0,0,82
2014,76,81,62,15,4,0,0,105
2014,77,66,47,16,3,0,0,88
2014,78,83,60,16,7,0,0,115
2014,79,55,36,12,7,0,0,84
2014,80,79,61,16,2,0,0,99
2014,81,12,3,3,6,0,0,30
2014,82,41,22,13,6,0,0,68
2014,83,26,21,3,2,0,0,33
2014,84,76,49,19,8,0,0,113
2014,85,52,32,17,3,0,0,75
2014,86,79,62,13,4,0,0,101
2014,87,26,13,9,4,0,0,45
2014,88,74,56,15,3,0,0,95
2014,89,46,33,11,2,0,0,61
2014,90,71,46,21,4,0,0,177
2014,91,5,2,3,0,0,0,8
2014,92,39,23,8,8,0,0,67
2014,93,21,10,8,3,0,0,35
2014,94,73,55,13,5,0,0,97
2014,95,46,29,13,4,0,0,68
2014,96,75,50,21,4,0,0,105
2014,97,29,12,11,6,0,0,53
2014,98,70,48,14,8,0,0,102
2014,99,46,20,15,11,0,0,89
2014,100,63,43,15,5,0,0,90
2014,101,35,23,8,4,0,0,51
2014,102,62,37,20,5,0,0,92
2014,103,2,0,1,1,0,0,5
2014,104,26,8,7,11,0,0,61
2015,1,35,18,11,6,0,0,59
2015,2,24,9,14,1,0,0,40
2015,3,48,21,18,9,0,0,86
2015,4,28,14,8,6,0,0,50
2015,5,58,36,19,3,0,0,83
2015,6,26,12,9,5,0,0,48
2015,7,46,30,15,1,0,0,63
2015,8,17,4,7,6,0,0,40
2015,9,65,45,19,1,0,0,87
2015,10,24,14,6,4,0,0,39
2015,11,59,40,16,3,0,0,81
2015,12,17,11,4,2,0,0,26
2015,13,55,32,19,4,0,0,83
2015,14,21,8,8,5,0,0,40
2015,15,58,45,13,0,0,0,71
2015,16,40,21,15,4,0,0,66
2015,17,61,45,10,6,0,0,85
2015,18,39,22,14,3,0,0,61
2015,19,69,39,25,5,0,0,104
2015,20,16,5,7,4,0,0,32
2015,21,73,46,21,6,0,0,109
2015,22,41,19,11,11,0,0,79
2015,23,79,50,24,5,0,0,114
2015,24,4,2,0,2,0,0,8
2015,25,39,25,8,6,0,0,61
2015,26,18,9,8,1,0,0,28
2015,27,77,52,20,5,0,0,109
2015,28,53,37,11,5,0,0,78
2015,29,75,48,21,6,0,0,109
2015,30,22,8,9,5,0,0,42
2015,31,72,41,21,10,0,0,114
2015,32,33,8,16,9,0,0,68
2015,33,78,52,21,5,0,0,109
2015,34,35,22,8,5,0,0,54
2015,35,65,46,14,5,0,0,89
2015,36,34,13,12,9,0,0,70
2015,37,75,46,22,7,0,0,111
2015,38,9,3,3,3,0,0,19
2015,39,75,51,17,7,0,0,106
2015,40,21,5,9,7,0,0,48
2015,41,68,49,15,4,0,0,91
2015,42,17,8,4,5,0,0,35
2015,43,31,16,12,3,0,0,50
2015,44,16,5,8,3,0,0,30
2015,45,28,20,6,2,0,0,38
2015,46,24,11,4,9,0,0,48
2015,47,30,19,7,4,0,0,46
2015,48,25,12,8,5,0,0,43
2015,49,19,10,4,5,0,0,34
2015,50,0,0,0,0,0,0,0
2015,51,8,3,3,2,0,0,16
2015,52,12,5,3,4,0,0,28
2015,53,21,12,7,2,0,0,32
2015,54,15,8,6,1,0,0,23
2015,55,13,8,2,3,0,0,22
2015,56,7,3,4,0,0,0,11
2015,57,17,6,7,4,0,0,33
2015,58,9,5,1,3,0,0,16
2015,59,12,6,6,0,0,0,18
2015,60,2,0,0,2,0,0,12
2015,61,32,28,4,0,0,0,36
2015,62,26,19,4,3,0,0,36
2015,63,58,50,7,1,0,0,67
2015,64,19,14,2,3,0,0,31
2015,65,76,63,9,4,0,0,93
2015,66,16,6,8,2,0,0,31
2015,67,78,69,7,2,0,0,90
2015,68,25,23,1,1,0,0,28
2015,69,43,38,5,0,0,0,48
2015,70,46,42,4,0,0,0,50
2015,71,80,74,5,1,0,0,87
2015,72,48,38,7,3,0,0,61
2015,73,84,72,11,1,0,0,97
2015,74,60,49,7,4,0,0,78
2015,75,70,53,14,3,0,0,95
2015,76,47,33,9,5,0,0,68
2015,77,83,72,6,5,0,0,99
2015,78,35,18,4,13,0,0,69
2015,79,32,25,4,3,0,0,43
2015,80,43,31,9,3,0,0,58
2015,81,81,68,9,4,0,0,99
2015,82,46,31,8,7,0,0,69
2015,83,82,71,7,4,0,0,100
2015,84,30,24,4,2,0,0,40
2015,85,68,56,9,3,0,0,83
2015,86,45,30,8,7,0,0,70
2015,87,85,75,8,2,0,0,99
2015,88,18,14,2,2,0,0,25
2015,89,31,24,6,1,0,0,40
2015,90,35,28,5,2,0,0,45
2015,91,83,69,11,3,0,0,101
2015,92,44,31,8,5,0,0,62
2015,93,70,59,6,5,0,0,90
2015,94,23,9,10,4,0,0,43
2015,95,61,48,10,3,0,0,77
2015,96,43,27,7,9,0,0,72
2015,97,63,43,12,8,0,0,94
2015,98,24,10,9,5,0,0,47
2015,99,64,52,4,8,0,0,88
2015,100,1,1,0,0,0,0,1
2015,101,18,11,4,3,0,0,31
2015,102,26,17,9,0,0,0,35
2016,1,26,13,5,8,0,0,49
2016,2,20,10,6,4,0,0,36
2016,3,39,27,7,5,0,0,59
2016,4,29,16,5,8,0,0,60
2016,5,61,46,10,5,0,0,83
2016,6,24,11,8,5,0,0,43
2016,7,67,50,10,7,0,0,95
2016,8,22,15,4,3,0,0,33
2016,9,56,42,11,3,0,0,76
2016,10,39,26,10,3,0,0,56
2016,11,60,41,14,5,0,0,85
2016,12,13,5,2,6,0,0,30
2016,13,61,40,13,8,0,0,93
2016,14,23,11,5,7,0,0,49
2016,15,55,35,11,9,0,0,88
2016,16,31,16,8,7,0,0,55
2016,17,69,54,8,7,0,0,97
2016,18,53,36,9,8,0,0,78
2016,19,72,59,11,2,0,0,87
2016,20,17,6,6,5,0,0,36
2016,21,76,60,11,5,0,0,107
